std,minfun,meanfun,skew,maxfreq,iq1,iq3,label,median,centroid,minfreq,frate,duration,meanfreq,peak,kurtosis,maxfun
1516.1584940422895,-29674.0,0.46852992957746475,5.531211419768524,17932.0,-20.0,19.0,1,0.0,-91415182.97531411,-14837.0,48000,2.84,0.4685299295774648,291.90140845070425,37.954496990417404,35864.0
3034.6150157198663,-44746.0,0.11945833333333333,3.119807979617818,22580.0,-250.0,179.0,1,0.0,60329928.926868014,-22373.0,48000,1.5,0.11945833333333333,209.33333333333331,11.133282835490295,45160.0
638.2364575343354,-11314.0,-0.8270620748299319,4.030408940120043,5711.0,-79.0,57.0,1,0.0,15795230.116256911,-5657.0,48000,1.96,-0.827062074829932,105.61224489795919,18.421595258710603,11422.0
861.7117984320289,-13950.0,-0.34086598258706463,3.893693384534279,9690.0,-88.0,85.0,1,0.0,22933339.50484488,-6975.0,48000,2.68,-0.3408659825870647,256.34328358208955,17.73403868301491,19380.0
1618.720393146213,-27300.0,-2.856136775362319,5.424225181256611,21903.0,-358.0,334.0,1,-1.0,24690482.434803426,-13650.0,48000,1.84,-2.856136775362319,339.6739130434783,32.96527334530524,43806.0
3706.8099718051385,-45762.0,0.06131329113924051,2.4970062633273233,21758.0,-1102.0,1289.0,1,10.0,-66913750.60215128,-22881.0,48000,1.58,0.06131329113924051,617.7215189873418,5.715506315969762,43516.0
2243.424751295425,-34040.0,-1.5698283450704225,3.16835778017487,20085.0,-370.0,343.0,1,0.0,2778634703.378123,-17020.0,48000,2.84,-1.5698283450704225,255.98591549295776,11.126406563220044,40170.0
2134.9624459693573,-37572.0,-1.9247306034482758,3.5375791662542064,20472.0,-266.25,229.0,1,0.0,-73102688.90048483,-18786.0,48000,2.32,-1.9247306034482758,623.2758620689656,14.200413833852753,40944.0
132.1611674794682,-2160.0,0.17989053672316385,4.1230926282293785,1824.0,-24.0,10.0,1,0.0,-2704144.549866791,-1080.0,48000,2.36,0.17989053672316385,128.8135593220339,22.257604486209488,3648.0
3190.3353587296074,-40758.0,-2.7771924603174605,3.113999630016635,24415.0,-573.0,346.0,1,-37.0,87830611.82652356,-20379.0,48000,2.1,-2.7771924603174605,229.04761904761904,10.716840388948041,48830.0
1951.9995640157738,-40608.0,1.2386376096491227,3.8805048839802487,22860.0,-77.0,81.0,1,0.0,-99105365.0585727,-20304.0,48000,1.52,1.2386376096491227,286.18421052631584,19.701822538481757,45720.0
2674.8747331957993,-41942.0,-1.6173958333333334,4.086436462037195,23189.0,-173.0,152.0,1,0.0,127110990.58308814,-20971.0,48000,3.4,-1.6173958333333334,247.64705882352942,18.8172939848988,46378.0
2988.6304369295362,-37746.0,-1.8960298742138364,2.6425487056100696,23400.0,-379.0,364.0,1,0.0,119977154.94635084,-18873.0,48000,2.12,-1.8960298742138364,256.1320754716981,7.740228407680744,46800.0
3286.837887855906,-46514.0,-3.665715579710145,3.333362922762709,23527.0,-223.0,272.0,1,1.0,-101476956.69956572,-23257.0,48000,3.22,-3.665715579710145,194.72049689440996,12.487617743377227,47054.0
759.8064527198344,-11620.0,0.4141927083333334,4.641565623180376,11876.0,-77.0,57.0,1,-4.0,-30951940.04804825,-5810.0,48000,2.24,0.4141927083333333,180.35714285714286,27.381964618331615,23752.0
785.2860564030683,-27272.0,-1.547329295154185,6.327177977556335,15251.0,-275.0,266.0,1,-10.0,52836746.69379089,-13636.0,48000,4.54,-1.547329295154185,58.81057268722467,39.934796253256735,30502.0
1554.7293846026284,-22058.0,-2.5897744082840237,3.7659368213990754,13367.0,-164.0,149.0,1,0.0,86282068.64427005,-11029.0,48000,3.38,-2.5897744082840237,177.81065088757398,16.115048776304445,26734.0
1448.7917636204381,-19518.0,-2.535753676470588,3.434072196105409,14789.0,-305.0,337.0,1,0.0,16684047.219437014,-9759.0,48000,1.36,-2.535753676470588,118.38235294117648,11.99727767558207,29578.0
379.116403265788,-8562.0,-2.268955052493438,3.8240085176218197,2736.0,-21.0,41.0,1,1.0,520748874.5159865,-4281.0,48000,2.54,-2.2689550524934385,98.03149606299212,17.839532797190238,5472.0
271.50269316433264,-13290.0,-0.5608522727272727,8.029751879880596,2699.0,-14.0,17.0,1,1.0,6204712.530751769,-6645.0,48000,2.2,-0.5608522727272728,249.54545454545456,95.55209073886523,5398.0
3451.042829676503,-47312.0,-3.0986689814814814,3.1278297256313095,23776.0,-932.0,815.0,1,-26.0,735582995.9334062,-23656.0,48000,3.24,-3.0986689814814814,291.6666666666667,9.601108061585949,47552.0
2772.401664597489,-33384.0,-1.4694110576923076,2.109906222970428,16174.0,-820.0,954.0,1,0.0,-98193728.66514777,-16692.0,48000,3.12,-1.4694110576923076,698.7179487179486,4.308488831498593,32348.0
1052.204738592665,-11890.0,-0.8538541666666666,2.797918662276172,8363.0,-223.0,156.0,1,-9.0,-25027018.71808188,-5945.0,48000,1.8,-0.8538541666666667,115.55555555555556,8.47308305057146,16726.0
1526.9654257259663,-41662.0,0.043852459016393446,5.77671943854634,17466.0,-69.0,70.0,1,0.0,-206984168.00363666,-20831.0,48000,4.88,0.043852459016393446,208.19672131147541,40.79775485422581,34932.0
2310.7001350498876,-26150.0,-3.760795454545455,2.212563876867596,15779.0,-942.0,712.0,1,0.0,-294654235.9648996,-13075.0,48000,1.98,-3.7607954545454545,113.13131313131314,4.625799408767861,31558.0
2301.051383221611,-26910.0,-0.5712613049095607,2.4938322250826395,20276.0,-788.0,575.0,1,-1.0,151549862.60452646,-13455.0,48000,2.58,-0.5712613049095607,118.60465116279069,6.205558829320996,40552.0
