std,minfun,meanfun,skew,maxfreq,iq1,iq3,label,median,centroid,minfreq,meanfreq,peak,kurtosis,maxfun
1005.8196609264437,-15342.0,0.4467430025445293,2.5193971761555276,11517.0,-377.0,249.0,1,-12.0,-2655460457.044831,-7671.0,0.44674300254452926,136.51399491094148,6.501338046052409,23034.0
2552.2427168878075,-35616.0,-0.11337325841219768,2.2487155923951514,23157.0,-879.0,558.0,1,-12.0,4322537986.262662,-17808.0,-0.11337325841219768,276.3998422712934,5.238850965386433,46314.0
1031.4964113473875,-19284.0,-3.4236302921560102,2.177116091154287,5512.0,-208.0,319.0,1,5.0,-1119267969.6246512,-9642.0,-3.42363029215601,116.7464114832536,4.7852323376822,11024.0
2414.1058916816887,-38772.0,-2.887835815447511,3.170834869723747,22126.0,-737.0,757.0,1,8.0,1493184461.9215882,-19386.0,-2.887835815447511,347.2185720543145,9.31139700098282,44252.0
1305.2027703682752,-23258.0,-0.8534856671169143,2.726582231842447,13229.0,-283.0,358.0,1,12.0,-1063781144.1755384,-11629.0,-0.8534856671169143,367.6947321026564,7.51762014104723,26458.0
4436.786687696221,-40878.0,2.440314094387755,1.4772146520532576,21136.0,-1639.0,1584.0,1,0.0,-2916100668.3639393,-20439.0,2.4403140943877553,509.375,1.863354908356266,42272.0
593.7853472393691,-11082.0,-2.362501646253128,1.8451358452209254,5344.0,-332.0,330.0,1,1.0,-551667929.2406309,-5541.0,-2.362501646253128,60.173844330304235,2.1710888074407766,10688.0
1637.738121855305,-47646.0,-0.5728664801466868,2.942509766844222,18757.0,-376.0,363.0,1,-1.0,-2215925542.4590883,-23823.0,-0.572866480146687,508.47875569044004,9.558527261958135,37514.0
693.2897455728004,-17434.0,-0.6647416701087705,2.8831753894570333,8844.0,-175.0,144.0,1,-6.0,335642613.621205,-8717.0,-0.6647416701087705,449.9173895084675,8.909628692844494,17688.0
2702.4736340770273,-37444.0,6.017903116531166,2.8369906192269028,23695.0,-1226.0,541.0,1,-150.0,2933128142.1168957,-18722.0,6.017903116531166,125.27498804399808,7.497035350969615,47390.0
1940.811905275991,-30702.0,1.107379593327183,3.226060227422494,22119.0,-446.0,346.0,1,-3.0,1427857940.8800538,-15351.0,1.1073795933271833,116.09778597785977,11.538648545293798,44238.0
1380.3020239570562,-46022.0,-2.2305015734837337,3.4787122766910232,23370.0,-539.0,425.0,1,-39.0,-753145254.4777808,-23011.0,-2.2305015734837337,498.7493869543894,13.339223376141177,46740.0
1794.151874532104,-45046.0,-0.7691643493997176,3.5431418061037143,22792.0,-281.0,310.0,1,1.0,-813009626.4178675,-22523.0,-0.7691643493997176,335.35487288135596,14.639002331218862,45584.0
2649.944472269019,-32314.0,1.2314678766925957,2.079701434284601,23582.0,-672.0,637.0,1,0.0,2111832356.4128072,-16157.0,1.2314678766925957,124.69749351771823,4.5259745916420835,47164.0
9312.60055793896,-65536.0,-9.121768641941724,1.3160516319831226,32767.0,-3160.0,3644.0,1,0.0,-24220515599.492626,-32768.0,-9.119512547606094,113.73322451940514,1.5091685008724731,65534.0
2408.0315890172324,-46340.0,-3.1717174187097896,2.812535744972647,21940.0,-438.0,852.0,1,35.0,-1158811516.2355838,-23170.0,-3.1717174187097896,243.1664058424622,8.285500298246737,43880.0
1677.4418241456754,-35608.0,-3.858404435371301,2.1425566053041494,20112.0,-451.0,277.0,1,-4.0,1196686049.8511617,-17804.0,-3.858404435371301,239.37804255653265,4.896485215571179,40224.0
1885.7247482792945,-34172.0,-1.7870458618442489,2.1775318247397855,9975.0,-242.0,684.0,1,23.0,-2314128522.707382,-17086.0,-1.7870458618442489,199.97556207233626,5.096833008424964,19950.0
2624.579687554311,-37204.0,-3.9127785749716555,2.0827134791323405,12400.0,-327.0,973.0,1,16.0,-2325179513.2048965,-18602.0,-3.9127785749716555,202.27465986394557,4.550200233250606,24800.0
1255.5972654320053,-20604.0,-0.8911963932457256,2.0758864623035773,7151.0,-252.0,466.0,1,16.0,1571670837.200062,-10302.0,-0.8911963932457256,209.77108944467994,4.350920709344771,14302.0
986.9051746199286,-20632.0,-0.3984132070790605,2.72015871605069,10661.0,-175.0,236.0,1,5.0,1329685865.7220728,-10316.0,-0.3984132070790605,253.48991068475024,7.985924819759292,21322.0
2673.945237339158,-38004.0,1.117835401205937,2.0448547466270868,21517.0,-928.0,213.0,1,-13.0,-1172573841.6770396,-19002.0,1.1178354012059368,217.4397031539889,4.466029069908823,43034.0
1216.2250188650696,-44772.0,0.6011304100227791,3.2010295289330615,23262.0,-265.0,82.0,1,-6.0,545646982.033494,-22386.0,0.601130410022779,264.14578587699316,13.75061427562569,46524.0
